Enrollment Count,Fall Term,Campus,Academic Career
3746,2018,Abington,Undergraduate
3244,2018,Altoona,Undergraduate
622,2018,Beaver,Undergraduate
2578,2018,Berks,Undergraduate
1351,2018,Brandywine,Undergraduate
211,2018,Carlisle,Law
564,2018,DuBois,Undergraduate
4152,2018,Erie,Undergraduate
160,2018,Erie,Graduate
640,2018,Fayette,Undergraduate
401,2018,Great Valley,Graduate
462,2018,Greater Allegheny,Undergraduate
4191,2018,Harrisburg,Undergraduate
742,2018,Harrisburg,Graduate
676,2018,Hazleton,Undergraduate
231,2018,Hershey Med Ctr,Graduate
712,2018,Hershey Med Ctr,Medical
912,2018,Lehigh Valley,Undergraduate
830,2018,Mont Alto,Undergraduate
585,2018,New Kensington,Undergraduate
609,2018,Schuylkill,Undergraduate
992,2018,Scranton,Undergraduate
419,2018,Shenango,Undergraduate
40363,2018,University Park,Undergraduate
5907,2018,University Park,Graduate
540,2018,University Park,Law
429,2018,Wilkes-Barre,Undergraduate
9,2018,Wilkes-Barre,Graduate
8346,2018,World Campus,Undergraduate
6112,2018,World Campus,Graduate
935,2018,York,Undergraduate
13,2018,York,Graduate
3726,2019,Abington,Undergraduate
2,2019,Abington,Graduate
3070,2019,Altoona,Undergraduate
599,2019,Beaver,Undergraduate
2481,2019,Berks,Undergraduate
1,2019,Berks,Graduate
1332,2019,Brandywine,Undergraduate
239,2019,Carlisle,Law
563,2019,DuBois,Undergraduate
3964,2019,Erie,Undergraduate
144,2019,Erie,Graduate
589,2019,Fayette,Undergraduate
421,2019,Great Valley,Graduate
439,2019,Greater Allegheny,Undergraduate
4246,2019,Harrisburg,Undergraduate
652,2019,Harrisburg,Graduate
619,2019,Hazleton,Undergraduate
261,2019,Hershey Med Ctr,Graduate
657,2019,Hershey Med Ctr,Medical
954,2019,Lehigh Valley,Undergraduate
23,2019,Lehigh Valley,Graduate
730,2019,Mont Alto,Undergraduate
545,2019,New Kensington,Undergraduate
631,2019,Schuylkill,Undergraduate
975,2019,Scranton,Undergraduate
402,2019,Shenango,Undergraduate
40639,2019,University Park,Undergraduate
6084,2019,University Park,Graduate
500,2019,University Park,Law
415,2019,Wilkes-Barre,Undergraduate
9,2019,Wilkes-Barre,Graduate
8360,2019,World Campus,Undergraduate
6327,2019,World Campus,Graduate
820,2019,York,Undergraduate
8,2019,York,Graduate
3436,2020,Abington,Undergraduate
1,2020,Abington,Graduate
2990,2020,Altoona,Undergraduate
1,2020,Altoona,Graduate
568,2020,Beaver,Undergraduate
2297,2020,Berks,Undergraduate
6,2020,Berks,Graduate
1312,2020,Brandywine,Undergraduate
246,2020,Carlisle,Law
496,2020,DuBois,Undergraduate
3491,2020,Erie,Undergraduate
127,2020,Erie,Graduate
577,2020,Fayette,Undergraduate
369,2020,Great Valley,Graduate
437,2020,Greater Allegheny,Undergraduate
4308,2020,Harrisburg,Undergraduate
620,2020,Harrisburg,Graduate
539,2020,Hazleton,Undergraduate
307,2020,Hershey Med Ctr,Graduate
673,2020,Hershey Med Ctr,Medical
959,2020,Lehigh Valley,Undergraduate
15,2020,Lehigh Valley,Graduate
710,2020,Mont Alto,Undergraduate
528,2020,New Kensington,Undergraduate
625,2020,Schuylkill,Undergraduate
1012,2020,Scranton,Undergraduate
373,2020,Shenango,Undergraduate
39809,2020,University Park,Undergraduate
6092,2020,University Park,Graduate
412,2020,University Park,Law
361,2020,Wilkes-Barre,Undergraduate
1,2020,Wilkes-Barre,Graduate
8865,2020,World Campus,Undergraduate
6486,2020,World Campus,Graduate
753,2020,York,Undergraduate
14,2020,York,Graduate
3072,2021,Abington,Undergraduate
2680,2021,Altoona,Undergraduate
555,2021,Beaver,Undergraduate
2130,2021,Berks,Undergraduate
1227,2021,Brandywine,Undergraduate
264,2021,Carlisle,Law
432,2021,DuBois,Undergraduate
3278,2021,Erie,Undergraduate
117,2021,Erie,Graduate
525,2021,Fayette,Undergraduate
282,2021,Great Valley,Graduate
396,2021,Greater Allegheny,Undergraduate
4085,2021,Harrisburg,Undergraduate
536,2021,Harrisburg,Graduate
486,2021,Hazleton,Undergraduate
320,2021,Hershey Med Ctr,Graduate
671,2021,Hershey Med Ctr,Medical
872,2021,Lehigh Valley,Undergraduate
672,2021,Mont Alto,Undergraduate
492,2021,New Kensington,Undergraduate
594,2021,Schuylkill,Undergraduate
942,2021,Scranton,Undergraduate
328,2021,Shenango,Undergraduate
40600,2021,University Park,Undergraduate
6330,2021,University Park,Graduate
630,2021,University Park,Law
309,2021,Wilkes-Barre,Undergraduate
5,2021,Wilkes-Barre,Graduate
9071,2021,World Campus,Undergraduate
6271,2021,World Campus,Graduate
730,2021,York,Undergraduate
12,2021,York,Graduate
3090,2022,Abington,Undergraduate
2577,2022,Altoona,Undergraduate
522,2022,Beaver,Undergraduate
2071,2022,Berks,Undergraduate
6,2022,Berks,Graduate
1196,2022,Brandywine,Undergraduate
282,2022,Carlisle,Law
366,2022,DuBois,Undergraduate
3188,2022,Erie,Undergraduate
107,2022,Erie,Graduate
424,2022,Fayette,Undergraduate
271,2022,Great Valley,Graduate
363,2022,Greater Allegheny,Undergraduate
4063,2022,Harrisburg,Undergraduate
509,2022,Harrisburg,Graduate
473,2022,Hazleton,Undergraduate
319,2022,Hershey Med Ctr,Graduate
662,2022,Hershey Med Ctr,Medical
888,2022,Lehigh Valley,Undergraduate
670,2022,Mont Alto,Undergraduate
460,2022,New Kensington,Undergraduate
623,2022,Schuylkill,Undergraduate
875,2022,Scranton,Undergraduate
281,2022,Shenango,Undergraduate
41745,2022,University Park,Undergraduate
6456,2022,University Park,Graduate
564,2022,University Park,Law
363,2022,Wilkes-Barre,Undergraduate
5,2022,Wilkes-Barre,Graduate
8210,2022,World Campus,Undergraduate
5769,2022,World Campus,Graduate
711,2022,York,Undergraduate
7,2022,York,Graduate
